path,line,line2,annotation
dataset/karrioapi/karrio/4a2a69f3228d0d18f3a11d09bf0878de6d2acac0/karrio-tests/sdk-tests (3.8),2022-06-24T18:50:52.4303798Z   Preparing editable metadata (pyproject.toml): finished with status 'done',2022-06-28T17:24:23.5736630Z   Preparing editable metadata (pyproject.toml): finished with status 'done',1
dataset/karrioapi/karrio/4a2a69f3228d0d18f3a11d09bf0878de6d2acac0/karrio-tests/sdk-tests (3.8),2022-06-24T18:49:40.5103551Z   Downloading packaging-20.9-py2.py3-none-any.whl (40 kB),2022-06-28T17:22:57.9525032Z   Downloading packaging-20.9-py2.py3-none-any.whl (40 kB),1
dataset/karrioapi/karrio/3a59274c07d7b9f891b949601f4df13feeb9be4e/karrio-tests/server-insiders-tests,2022-07-10T15:16:36.7548293Z   Running setup.py develop for karrio.server.manager,2022-07-11T14:06:17.2483806Z   Running setup.py develop for karrio.server.manager,1
dataset/karrioapi/karrio/3a59274c07d7b9f891b949601f4df13feeb9be4e/karrio-tests/server-insiders-tests,2022-07-10T15:14:39.6956312Z      ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 503.5/503.5 KB 56.8 MB/s eta 0:00:00,2022-07-11T14:04:43.0916772Z      ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 503.5/503.5 KB 87.2 MB/s eta 0:00:00,3
dataset/karrioapi/karrio/d160fe59755a0aed183c54545da57ad0bae26e08/karrio-tests/sdk-tests (3.8),2022-07-24T06:57:12.8684809Z Receiving objects:  54% (1267/2346),2022-07-25T14:16:11.9023659Z Receiving objects:  54% (1268/2347),3
dataset/karrioapi/karrio/d160fe59755a0aed183c54545da57ad0bae26e08/karrio-tests/sdk-tests (3.8),2022-07-24T06:57:21.1493760Z Collecting lxml,2022-07-25T14:16:19.9457821Z Collecting requests>=2.21.0,2
dataset/mastodon/mastodon/1d696fd0706ed4e177fe7235626465129eaf11b8/Build container image/build-image,2022-06-01T10:57:13.1148446Z #19 29.90 Fetching openssl-signature_algorithm 0.4.0,"2022-06-01T11:16:56.1065365Z #19 [linux/amd64 build-dep 7/7] RUN cd /opt/mastodon &&   bundle config set --local deployment 'true' &&   bundle config set --local without 'development test' &&   bundle config set silence_root_warning true && 	bundle install -j""$(nproc)"" && 	yarn install --pure-lockfile",2
dataset/mastodon/mastodon/1d696fd0706ed4e177fe7235626465129eaf11b8/Build container image/build-image,"2022-06-01T10:51:37.1414656Z #13 [linux/arm64 build-dep 3/7] RUN ARCH= &&     dpkgArch=""$(dpkg --print-architecture)"" &&   case ""${dpkgArch##*-}"" in     amd64) ARCH='x64';;     ppc64el) ARCH='ppc64le';;     s390x) ARCH='s390x';;     arm64) ARCH='arm64';;     armhf) ARCH='armv7l';;     i386) ARCH='x86';;     *) echo ""unsupported architecture""; exit 1 ;;   esac &&     echo ""Etc/UTC"" > /etc/localtime && 	apt-get update && 	apt-get install -y --no-install-recommends ca-certificates wget python apt-utils && 	cd ~ && 	wget -q https://nodejs.org/download/release/v$NODE_VER/node-v$NODE_VER-linux-$ARCH.tar.gz && 	tar xf node-v$NODE_VER-linux-$ARCH.tar.gz && 	rm node-v$NODE_VER-linux-$ARCH.tar.gz && 	mv node-v$NODE_VER-linux-$ARCH /opt/node",2022-06-01T11:09:10.7490443Z #15 30.09 checking for sys/utime.h... no,2
dataset/mastodon/mastodon/f17e73da09e6c63665aee4e9731df7808094960e/Build container image/build-image,2022-05-07T02:51:28.2683660Z (Reading database ... 55%,2022-05-09T05:44:03.6911021Z #14 8.453 Preparing to unpack .../07-libreadline8_8.0-4_amd64.deb ...,2
dataset/mastodon/mastodon/f17e73da09e6c63665aee4e9731df7808094960e/Build container image/build-image,2022-05-07T03:56:12.5198125Z #31 72.46 Fetching websocket-extensions 0.1.5,2022-05-09T06:50:04.5685109Z #31 17.41 Fetching gem metadata from https://rubygems.org/.........,2
dataset/mastodon/mastodon/331cca40159f7627f73c73030b512e5f616ed52b/Build container image/build-image,2022-04-12T01:28:42.0761450Z #29 58.57 Selecting previously unselected package python2.7.,2022-04-12T12:22:33.3151308Z #15 49.00 checking for initgroups... yes,2
dataset/mastodon/mastodon/331cca40159f7627f73c73030b512e5f616ed52b/Build container image/build-image,2022-04-12T01:28:24.6808361Z #12 21.18 checking for gcc option to accept ISO C89... none needed,2022-04-12T12:22:11.2224055Z #15 26.91 checking sanitizer/msan_interface.h presence... no,2
dataset/mastodon/mastodon/e34dd3644c830895988a3116a7b6949fd81ed3fa/Build container image/build-image,2022-05-27T18:20:06.1080358Z #13 711.4 checking for syscall... yes,2022-05-27T18:23:21.9585683Z #24 841.1 checking for mkfifo... yes,2
dataset/mastodon/mastodon/e34dd3644c830895988a3116a7b6949fd81ed3fa/Build container image/build-image,2022-05-27T18:12:27.7736585Z (Reading database ... 95%,2022-05-27T18:14:40.0958974Z #19 16.48 Fetched 29.6 MB in 1s (45.7 MB/s),2
dataset/mastodon/mastodon/a6508d652b8a6e99980909bb67db59b39e831c81/Build container image/build-image,2022-05-03T01:47:27.6537951Z #17 11.26 Preparing to unpack .../02-libicu66_66.1-2ubuntu2.1_amd64.deb ...,2022-05-03T01:50:06.4596930Z #17 14.40 Get:38 http://archive.ubuntu.com/ubuntu focal-updates/main amd64 libpq-dev amd64 12.9-0ubuntu0.20.04.1 [136 kB],2
dataset/mastodon/mastodon/a6508d652b8a6e99980909bb67db59b39e831c81/Build container image/build-image,2022-05-03T01:44:08.8673645Z #16 55.34 Preparing to unpack .../14-m4_1.4.18-4_arm64.deb ...,2022-05-03T01:45:50.8684302Z #16 72.65 Selecting previously unselected package binutils-common:arm64.,2
dataset/mastodon/mastodon/dc503472477000597f2ff1b6a5c37e8ac4dd2d8c/Build container image/build-image,2022-04-09T18:11:40.0588623Z   seccomp,2022-04-11T19:17:24.7927748Z    Profile: default,2
dataset/mastodon/mastodon/dc503472477000597f2ff1b6a5c37e8ac4dd2d8c/Build container image/build-image,2022-04-09T18:11:33.2608523Z remote: Compressing objects:  33% (1820/5513)        ,2022-04-11T19:17:20.1271269Z remote: Compressing objects:  33% (1820/5513)        ,1
dataset/tillsteinbach/VWsFriend/9c8aa15298030a2dc04815849da6048f1cec277c/grafana Build/vwsfriend-grafana,"2022-05-16T07:07:08.8019585Z   ""labels"": {","2022-05-17T11:55:27.9119003Z   ],",2
dataset/tillsteinbach/VWsFriend/9c8aa15298030a2dc04815849da6048f1cec277c/grafana Build/vwsfriend-grafana,2022-05-16T07:07:08.2161547Z remote: Compressing objects:  74% (163/220)        ,2022-05-17T11:55:27.1525028Z remote: Compressing objects:  74% (163/220)        ,1
dataset/lukas-krecan/JsonUnit/4bfae6093ae40a9f18741c514a3d9bcdb640136a/CI/build (8),2022-05-05T17:47:40.8306727Z INFO: Completed initialization in 0 ms,"2022-05-05T17:59:46.5628146Z May 05, 2022 5:59:46 PM org.springframework.mock.web.MockServletContext log",2
dataset/lukas-krecan/JsonUnit/4bfae6093ae40a9f18741c514a3d9bcdb640136a/CI/build (8),2022-05-05T17:47:48.7169551Z ------------,2022-05-05T17:59:55.5772129Z 17:59:55.565 [main] DEBUG net.javacrumbs.jsonunit.difference.diff - JSON documents are different:,2
dataset/AliveToolkit/alive2/eb5b9484f715f2977878d18416466ea549e9e6a9/Build/macos-latest clang++ Release,2022-06-23T14:24:44.5821330Z Receiving objects:  58% (891/1536),2022-06-26T18:11:35.5800270Z Receiving objects:  58% (891/1536),1
dataset/AliveToolkit/alive2/eb5b9484f715f2977878d18416466ea549e9e6a9/Build/macos-latest clang++ Release,2022-06-23T14:24:34.1347009Z Job is about to start running on the hosted runner: GitHub Actions 3 (hosted),2022-06-26T18:11:28.2857018Z Job is about to start running on the hosted runner: GitHub Actions 3 (hosted),1
dataset/migueldeicaza/gui.cs/f05cba2d81b963fb4cdddcb8fd63d4ba7bc55170/Code scanning - action/CodeQL-Build,"2022-05-04T15:01:54.1668533Z       ""/opt/hostedtoolcache/CodeQL/0.0.0-20220401/x64/codeql/qlpacks/codeql/csharp-queries/0.0.13/Security Features/CWE-312/CleartextStorage.ql"" : { },",2022-05-05T14:14:23.5487142Z   documentation_url: 'https://docs.github.com/rest',2
dataset/migueldeicaza/gui.cs/f05cba2d81b963fb4cdddcb8fd63d4ba7bc55170/Code scanning - action/CodeQL-Build,2022-05-04T15:01:49.6841988Z Resolving deltas:  27% (83/306),2022-05-05T14:14:21.8121947Z Resolving deltas:  27% (72/265),3
dataset/migueldeicaza/gui.cs/736d10598bb508a80cbd4bba746ec7bbc975eef6/Code scanning - action/CodeQL-Build,2022-05-09T02:30:20.4144891Z remote: Compressing objects:  72% (315/437)        ,2022-05-11T14:12:00.2443973Z remote: Compressing objects:  72% (317/439)        ,3
dataset/migueldeicaza/gui.cs/736d10598bb508a80cbd4bba746ec7bbc975eef6/Code scanning - action/CodeQL-Build,2022-05-09T02:30:15.4070589Z Download action repository 'actions/checkout@v3' (SHA:2541b1294d2704b0964813337f33b291d3f8596b),2022-05-11T14:11:53.3833806Z Download action repository 'actions/checkout@v3' (SHA:2541b1294d2704b0964813337f33b291d3f8596b),1
dataset/migueldeicaza/gui.cs/d16f0f607f18b57ea9810c9e58f64eec1e0b190b/Build Terminal.Gui with .NET Core/build,2022-06-11T10:18:46.8569445Z Resolving deltas:  71% (191/268),2022-06-11T10:24:59.9649533Z Resolving deltas:  71% (191/268),1
dataset/migueldeicaza/gui.cs/d16f0f607f18b57ea9810c9e58f64eec1e0b190b/Build Terminal.Gui with .NET Core/build,2022-06-11T10:18:46.8055303Z Receiving objects:  80% (467/583),2022-06-11T10:24:59.8983245Z Receiving objects:  80% (467/583),1
dataset/migueldeicaza/gui.cs/eb0e5003a64e08a687d4427d1eae8f88b64c2b42/Code scanning - action/CodeQL-Build,2022-05-15T01:25:18.2495764Z Resolving deltas:  39% (104/265),2022-05-16T14:10:38.2945764Z Resolving deltas:  39% (105/269),3
dataset/migueldeicaza/gui.cs/eb0e5003a64e08a687d4427d1eae8f88b64c2b42/Code scanning - action/CodeQL-Build,2022-05-15T01:25:18.2646122Z Resolving deltas:  84% (223/265),2022-05-16T14:10:38.3264321Z Resolving deltas:  84% (226/269),3
dataset/migueldeicaza/gui.cs/3a8a537639aef3721413e2abea63ec1ff511faaf/Code scanning - action/CodeQL-Build,2022-04-22T16:17:47.8801143Z remote: Counting objects:  98% (575/586)        ,2022-04-25T14:07:22.2305592Z remote: Counting objects:  98% (571/582)        ,3
dataset/migueldeicaza/gui.cs/3a8a537639aef3721413e2abea63ec1ff511faaf/Code scanning - action/CodeQL-Build,2022-04-22T16:17:48.1880539Z Receiving objects:  45% (264/586),2022-04-25T14:07:22.4778070Z Receiving objects:  45% (262/582),3
dataset/wp-graphql/wp-graphql/16b159fe40ebdc12e1b7ce968b27ec0a9d1943e2/Code Quality/Check code (8),2022-06-17T18:20:52.6385734Z '16b159fe40ebdc12e1b7ce968b27ec0a9d1943e2',2022-06-21T14:06:44.3380343Z '73d0a34bf78b45062973db86b2481da7f256771a',3
dataset/wp-graphql/wp-graphql/16b159fe40ebdc12e1b7ce968b27ec0a9d1943e2/Code Quality/Check code (8),2022-06-17T18:20:51.4564379Z remote: Compressing objects:  80% (496/620)        ,2022-06-21T14:06:43.4151399Z remote: Compressing objects:  80% (496/619)        ,3
dataset/neoclide/coc.nvim/c32c53a29b1f7efa3cf70fdfddee11a22a8b8e8e/Dev/test (14 0.7.0)",2022-05-23T22:12:54.7547349Z [command]/usr/bin/git config --local gc.auto 0,2022-05-23T22:29:21.4168730Z [command]/usr/bin/git config --local gc.auto 0,1
dataset/neoclide/coc.nvim/c32c53a29b1f7efa3cf70fdfddee11a22a8b8e8e/Dev/test (14 0.7.0)",2022-05-23T22:13:20.9245449Z (Reading database ... 15%,2022-05-23T22:29:51.1192164Z (Reading database ... 5%,3
dataset/neoclide/coc.nvim/c32c53a29b1f7efa3cf70fdfddee11a22a8b8e8e/Dev/test (16 0.7.0)","2022-05-23T22:12:59.2123508Z Received 0 of 717403230 (0.0%), 0.0 MBs/sec","2022-05-23T22:29:24.6535080Z Received 478150656 of 717403230 (66.7%), 227.4 MBs/sec",2
dataset/neoclide/coc.nvim/c32c53a29b1f7efa3cf70fdfddee11a22a8b8e8e/Dev/test (16 0.7.0)",2022-05-23T22:14:43.2401372Z PASS src/__tests__/modules/document.test.ts,2022-05-23T22:31:06.2657824Z PASS src/__tests__/modules/window.test.ts (5.292 s),2
dataset/neoclide/coc.nvim/9bec5321d9e69d601f64977b2888735704b47436/Dev/test (14 0.7.0)",2022-08-02T14:55:40.9593234Z PASS src/__tests__/snippets/session.test.ts,2022-08-03T09:52:49.1919890Z PASS src/__tests__/tree/treeView.test.ts (11.771 s),2
dataset/neoclide/coc.nvim/9bec5321d9e69d601f64977b2888735704b47436/Dev/test (14 0.7.0)",2022-08-02T14:56:57.2371016Z PASS src/__tests__/handler/fold.test.ts,2022-08-03T09:54:29.3388555Z PASS src/__tests__/core/terminals.test.ts,2
dataset/neoclide/coc.nvim/36cc9646a0ad804fc7199331511a75cc0ceb8f4b/Dev/test (ubuntu-latest 16)",2022-05-13T11:55:05.0636517Z remote: Counting objects:  68% (318/467)        ,2022-05-13T12:55:57.8655805Z remote: Counting objects:  68% (316/464)        ,3
dataset/neoclide/coc.nvim/7240bdc1be0269b0675d96611b05bdc4526bb996/Dev/test (14 0.7.0)",2022-08-05T19:03:40.8146394Z remote: Counting objects:  34% (161/472)        ,2022-08-06T16:21:06.2923851Z remote: Counting objects:  34% (160/469)        ,3
dataset/neoclide/coc.nvim/7240bdc1be0269b0675d96611b05bdc4526bb996/Dev/test (16 0.7.0)",2022-08-05T19:03:39.3460205Z remote: Counting objects:   7% (34/472)        ,2022-08-06T16:21:06.3688092Z remote: Counting objects:   7% (33/469)        ,3
dataset/neoclide/coc.nvim/29e5cee64d8fba94ead39552ec6c8819876099c1/Dev/test (16 0.7.0)",2022-05-21T22:57:12.8471382Z LuaJIT 2.1.0-beta3,2022-05-22T09:06:15.0289791Z LuaJIT 2.1.0-beta3,1
dataset/neoclide/coc.nvim/29e5cee64d8fba94ead39552ec6c8819876099c1/Dev/test (16 0.7.0)",2022-05-21T22:56:44.8386676Z remote: Compressing objects:  70% (297/423)        ,2022-05-22T09:05:43.9069735Z remote: Compressing objects:  70% (296/422)        ,3
dataset/neoclide/coc.nvim/2094e25197d7782d65bfe1ccfe053df5402dfd67/Lint/Lint,2022-05-21T16:31:39.0637929Z Job is waiting for a hosted runner to come online.,2022-05-21T16:53:31.2749646Z Job is waiting for a hosted runner to come online.,1
dataset/neoclide/coc.nvim/2094e25197d7782d65bfe1ccfe053df5402dfd67/Lint/Lint,2022-05-21T16:31:46.7008474Z   submodules: false,2022-05-21T16:53:41.2549508Z   submodules: false,1
dataset/neoclide/coc.nvim/d0e6301e196264230ffc855cd5e1f196cb5a428b/Dev/test (ubuntu-latest 14)",2022-05-13T03:38:34.7901164Z (Reading database ... 80%,2022-05-13T04:26:58.4374179Z (Reading database ... 55%,3
dataset/neoclide/coc.nvim/facfc0b419bfafb1f48a04c394574ee9345b25bf/Dev/test (16 0.7.0)",2022-05-19T10:51:15.1097222Z 20.04.4,2022-05-19T14:58:10.8638900Z 20.04.4,1
dataset/neoclide/coc.nvim/9cf278d18f89b9e4ac96cbe0ca44098ed0d7308c/Dev/test (16 0.7.0)",2022-05-28T13:03:50.2599277Z remote: Counting objects:  25% (116/462)        ,2022-05-28T14:16:24.6690335Z remote: Counting objects:  25% (116/464)        ,3
dataset/neoclide/coc.nvim/9cf278d18f89b9e4ac96cbe0ca44098ed0d7308c/Dev/test (16 0.7.0)",2022-05-28T13:03:45.5108498Z SecurityEvents: write,2022-05-28T14:16:22.5981377Z SecurityEvents: write,1
dataset/RequiDev/ReModCE/81f4d5a26424b78e83f3ebf5f713bc0c47591653/release_on_tag/build,2022-04-14T17:03:41.9616664Z remote: Compressing objects:  29% (31/104)        ,2022-04-21T20:18:46.0781624Z remote: Compressing objects:  29% (30/103)        ,3
dataset/RequiDev/ReModCE/81f4d5a26424b78e83f3ebf5f713bc0c47591653/release_on_tag/build,2022-04-14T17:03:41.9640303Z remote: Compressing objects:  97% (101/104)        ,2022-04-21T20:18:46.0824119Z remote: Compressing objects:  97% (100/103)        ,3
dataset/RequiDev/ReModCE/87c446b183727a62e7489993e4eb7586abae1aed/main/build,2022-05-02T06:57:45.0014790Z Resolving deltas:   5% (1/19),2022-05-09T18:04:45.4028522Z Resolving deltas:  15% (3/19),3
dataset/RequiDev/ReModCE/87c446b183727a62e7489993e4eb7586abae1aed/main/build,2022-05-02T06:57:25.8722394Z remote: Counting objects:  12% (13/106)        ,2022-05-09T18:04:23.8453646Z remote: Counting objects:  12% (13/106)        ,1
